x-axis SCL1 SDA1
second Volt Volt
+34.50000E-06 -64.72110748E-03 -587.93975E-06
+34.51500E-06 -64.72110748E-03 -1.39195984E-03
+34.53000E-06 -26.12814307E-03 -587.93975E-06
+34.54500E-06 -26.12814307E-03 -587.93975E-06
+34.56000E-06 -26.12814307E-03 -587.93975E-06
+34.57500E-06 -26.12814307E-03 -1.39195984E-03
+34.59000E-06 -26.12814307E-03 -587.93975E-06
+34.60500E-06 -26.12814307E-03 +216.08034E-06
+34.62000E-06 -26.12814307E-03 -587.93975E-06
+34.63500E-06 -64.72110748E-03 -587.93975E-06
+34.65000E-06 -26.12814307E-03 -587.93975E-06
+34.66500E-06 -26.12814307E-03 -587.93975E-06
+34.68000E-06 -26.12814307E-03 -587.93975E-06
+34.69500E-06 -26.12814307E-03 -1.39195984E-03
+34.71000E-06 -26.12814307E-03 -587.93975E-06
+34.72500E-06 -26.12814307E-03 -1.39195984E-03
+34.74000E-06 -26.12814307E-03 -587.93975E-06
+34.75500E-06 -26.12814307E-03 -587.93975E-06
+34.77000E-06 -26.12814307E-03 -587.93975E-06
+34.78500E-06 -26.12814307E-03 -587.93975E-06
+34.80000E-06 +12.46482134E-03 -587.93975E-06
+34.81500E-06 -26.12814307E-03 -1.39195984E-03
+34.83000E-06 -26.12814307E-03 -587.93975E-06
+34.84500E-06 -26.12814307E-03 -587.93975E-06
+34.86000E-06 -26.12814307E-03 -587.93975E-06
+34.87500E-06 -26.12814307E-03 -1.39195984E-03
+34.89000E-06 -26.12814307E-03 -587.93975E-06
+34.90500E-06 -26.12814307E-03 -587.93975E-06
+34.92000E-06 -26.12814307E-03 -1.39195984E-03
+34.93500E-06 -26.12814307E-03 -1.39195984E-03
+34.95000E-06 -26.12814307E-03 -587.93975E-06
+34.96500E-06 -26.12814307E-03 +216.08034E-06
+34.98000E-06 -26.12814307E-03 -1.39195984E-03
+34.99500E-06 -26.12814307E-03 -587.93975E-06
+35.01000E-06 -26.12814307E-03 -587.93975E-06
+35.02500E-06 -26.12814307E-03 -1.39195984E-03
+35.04000E-06 +12.46482134E-03 -1.39195984E-03
+35.05500E-06 -26.12814307E-03 -1.39195984E-03
+35.07000E-06 -26.12814307E-03 -587.93975E-06
+35.08500E-06 -26.12814307E-03 -587.93975E-06
