x-axis SCL1 SDA1
second Volt Volt
+34.50000E-06 -45.59925199E-03 -1.04999996E-03
+34.51500E-06 -45.59925199E-03 -567.58791E-06
+34.53000E-06 -45.59925199E-03 -85.17585E-06
+34.54500E-06 -45.59925199E-03 -567.58791E-06
+34.56000E-06 -45.59925199E-03 -567.58791E-06
+34.57500E-06 -113.13693970E-03 -567.58791E-06
+34.59000E-06 -45.59925199E-03 -1.04999996E-03
+34.60500E-06 -113.13693970E-03 -567.58791E-06
+34.62000E-06 -45.59925198E-03 -567.58791E-06
+34.63500E-06 -45.59925199E-03 -1.04999996E-03
+34.65000E-06 -45.59925199E-03 -567.58791E-06
+34.66500E-06 +21.93843573E-03 -1.04999996E-03
+34.68000E-06 -45.59925199E-03 -85.17585E-06
+34.69500E-06 -45.59925198E-03 -567.58791E-06
+34.71000E-06 +21.93843573E-03 -567.58791E-06
+34.72500E-06 -45.59925198E-03 -567.58791E-06
+34.74000E-06 -45.59925199E-03 -567.58791E-06
+34.75500E-06 -45.59925199E-03 -85.17585E-06
+34.77000E-06 -45.59925199E-03 -567.58791E-06
+34.78500E-06 -113.13693970E-03 -567.58791E-06
+34.80000E-06 -45.59925199E-03 -85.17585E-06
+34.81500E-06 -113.13693970E-03 -567.58791E-06
+34.83000E-06 -45.59925199E-03 -85.17585E-06
+34.84500E-06 -45.59925199E-03 -85.17585E-06
+34.86000E-06 +21.93843573E-03 -85.17585E-06
+34.87500E-06 +21.93843573E-03 -567.58791E-06
+34.89000E-06 -45.59925198E-03 -567.58791E-06
+34.90500E-06 -45.59925198E-03 -567.58791E-06
+34.92000E-06 -45.59925199E-03 -85.17585E-06
+34.93500E-06 -45.59925199E-03 -567.58791E-06
+34.95000E-06 -45.59925199E-03 -567.58791E-06
+34.96500E-06 -45.59925199E-03 -567.58791E-06
+34.98000E-06 -45.59925198E-03 -567.58791E-06
+34.99500E-06 -45.59925199E-03 -567.58791E-06
+35.01000E-06 -113.13693970E-03 -567.58791E-06
+35.02500E-06 -45.59925199E-03 -567.58791E-06
+35.04000E-06 -45.59925199E-03 -1.04999996E-03
+35.05500E-06 -45.59925199E-03 -567.58791E-06
+35.07000E-06 -45.59925198E-03 -85.17585E-06
+35.08500E-06 -113.13693970E-03 -567.58791E-06
+35.10000E-06 -45.59925198E-03 -1.04999996E-03
+35.11500E-06 -45.59925199E-03 -567.58791E-06
+35.13000E-06 -45.59925199E-03 -1.04999996E-03
+35.14500E-06 -45.59925199E-03 -567.58791E-06
+35.16000E-06 -45.59925199E-03 -85.17585E-06
+35.17500E-06 -113.13693970E-03 -567.58791E-06
+35.19000E-06 -45.59925199E-03 -85.17585E-06
+35.20500E-06 -45.59925199E-03 -85.17585E-06
+35.22000E-06 -45.59925199E-03 -85.17585E-06
+35.23500E-06 +21.93843573E-03 -85.17585E-06
+35.25000E-06 -113.13693970E-03 -85.17585E-06
+35.26500E-06 -45.59925199E-03 -1.04999996E-03
+35.28000E-06 -45.59925199E-03 -1.04999996E-03
+35.29500E-06 -45.59925199E-03 -567.58791E-06
+35.31000E-06 -113.13693970E-03 -1.04999996E-03
+35.32500E-06 -45.59925198E-03 -85.17585E-06
+35.34000E-06 -45.59925198E-03 -567.58791E-06
+35.35500E-06 -45.59925199E-03 -85.17585E-06
+35.37000E-06 -45.59925199E-03 -85.17585E-06
+35.38500E-06 -45.59925199E-03 -85.17585E-06
+35.40000E-06 +21.93843573E-03 -85.17585E-06
+35.41500E-06 -45.59925199E-03 -85.17585E-06
+35.43000E-06 -45.59925199E-03 -567.58791E-06
+35.44500E-06 +21.93843573E-03 -567.58791E-06
+35.46000E-06 -45.59925199E-03 -567.58791E-06
+35.47500E-06 +21.93843573E-03 -567.58791E-06
+35.49000E-06 -45.59925199E-03 -567.58791E-06
+35.50500E-06 +21.93843573E-03 -567.58791E-06
+35.52000E-06 -113.13693970E-03 -85.17585E-06
+35.53500E-06 -45.59925199E-03 -85.17585E-06
+35.55000E-06 -45.59925199E-03 -567.58791E-06
+35.56500E-06 -45.59925199E-03 -567.58791E-06
+35.58000E-06 -45.59925199E-03 -1.04999996E-03
