x-axis,1,2
second,Volt,Volt
+25.10000E-06,-75.57789236E-03,-24.02010001E-03
+25.12500E-06,-66.13065582E-03,-19.99999955E-03
+25.15000E-06,-9.44723655E-03,-15.97989909E-03
+25.17500E-06,-66.13065582E-03,-19.99999955E-03
+25.20000E-06,-66.13065582E-03,-24.02010001E-03
+25.22500E-06,-75.57789236E-03,-19.99999955E-03
+25.25000E-06,-9.44723655E-03,-48.14070277E-03
+25.27500E-06,+0.0E+00,-24.02010001E-03
+25.30000E-06,-66.13065582E-03,-24.02010001E-03
+25.32500E-06,-66.13065582E-03,-52.16080323E-03
+25.35000E-06,-9.44723655E-03,+8.14070366E-03
+25.37500E-06,-75.57789236E-03,-19.99999955E-03
+25.40000E-06,-75.57789236E-03,-19.99999955E-03
+25.42500E-06,+0.0E+00,-19.99999955E-03
+25.45000E-06,+0.0E+00,-48.14070277E-03
+25.47500E-06,-66.13065582E-03,-52.16080323E-03
+25.50000E-06,-66.13065582E-03,-19.99999955E-03
+25.52500E-06,-75.57789236E-03,-19.99999955E-03
+25.55000E-06,-9.44723655E-03,-19.99999955E-03
+25.57500E-06,+0.0E+00,-19.99999955E-03
+25.60000E-06,+0.0E+00,-19.99999955E-03
+25.62500E-06,-9.44723654E-03,-19.99999955E-03
+25.65000E-06,+0.0E+00,-48.14070277E-03
+25.67500E-06,-9.44723654E-03,-24.02010001E-03
+25.70000E-06,-75.57789236E-03,-19.99999955E-03
+25.72500E-06,-9.44723654E-03,-19.99999955E-03
+25.75000E-06,-75.57789236E-03,+12.16080412E-03
+25.77500E-06,-75.57789236E-03,-52.16080323E-03
+25.80000E-06,-66.13065582E-03,-19.99999955E-03
+25.82500E-06,-9.44723654E-03,-19.99999955E-03
+25.85000E-06,+0.0E+00,-76.28140599E-03
+25.87500E-06,-66.13065582E-03,-24.02010001E-03
+25.90000E-06,-75.57789236E-03,-19.99999955E-03
+25.92500E-06,-9.44723654E-03,-19.99999955E-03
+25.95000E-06,-9.44723654E-03,-19.99999955E-03
+25.97500E-06,-75.57789236E-03,-48.14070277E-03
+26.00000E-06,-9.44723654E-03,-24.02010001E-03
+26.02500E-06,+0.0E+00,-52.16080323E-03
+26.05000E-06,+0.0E+00,-24.02010001E-03
+26.07500E-06,-75.57789236E-03,-24.02010001E-03
+26.10000E-06,-75.57789236E-03,-24.02010001E-03
+26.12500E-06,-75.57789236E-03,-52.16080323E-03
+26.15000E-06,-75.57789236E-03,-48.14070277E-03
+26.17500E-06,-9.44723654E-03,-48.14070277E-03
