x-axis,SCL1,SDA1
second,Volt,Volt
+34.50000E-06,-39.19219971E-03,-2.86293961E-03
+34.51500E-06,-39.19219971E-03,-2.86293961E-03
+34.53000E-06,-39.19219971E-03,-450.87934E-06
+34.54500E-06,-39.19219971E-03,-2.86293961E-03
+34.56000E-06,-39.19219971E-03,+1.96118094E-03
+34.57500E-06,-39.19219971E-03,-450.87934E-06
+34.59000E-06,+18.69724691E-03,-2.86293961E-03
+34.60500E-06,-39.19219971E-03,-450.87934E-06
+34.62000E-06,-39.19219971E-03,-450.87934E-06
+34.63500E-06,-39.19219971E-03,-450.87934E-06
+34.65000E-06,-39.19219971E-03,-450.87934E-06
+34.66500E-06,-97.08164632E-03,-450.87934E-06
+34.68000E-06,-39.19219971E-03,-450.87934E-06
+34.69500E-06,-97.08164632E-03,-450.87934E-06
+34.71000E-06,-39.19219971E-03,-2.86293961E-03
+34.72500E-06,-97.08164632E-03,-2.86293961E-03
+34.74000E-06,-97.08164632E-03,-450.87934E-06
+34.75500E-06,-39.19219971E-03,-450.87934E-06
+34.77000E-06,-97.08164632E-03,-450.87934E-06
+34.78500E-06,-97.08164632E-03,-2.86293961E-03
+34.80000E-06,-39.19219971E-03,-450.87934E-06
+34.81500E-06,-97.08164632E-03,-450.87934E-06
+34.83000E-06,-39.19219971E-03,-2.86293961E-03
+34.84500E-06,-97.08164632E-03,-2.86293961E-03
+34.86000E-06,-39.19219971E-03,-450.87934E-06
+34.87500E-06,-39.19219971E-03,-450.87934E-06
+34.89000E-06,-39.19219971E-03,-450.87934E-06
+34.90500E-06,-39.19219971E-03,-2.86293961E-03
+34.92000E-06,-39.19219971E-03,-450.87934E-06
+34.93500E-06,-39.19219971E-03,-450.87934E-06
+34.95000E-06,-39.19219971E-03,-2.86293961E-03
+34.96500E-06,-39.19219971E-03,-450.87934E-06
+34.98000E-06,-39.19219971E-03,-450.87934E-06
+34.99500E-06,-39.19219971E-03,-2.86293961E-03
+35.01000E-06,-39.19219971E-03,-450.87934E-06
+35.02500E-06,-97.08164632E-03,-450.87934E-06
+35.04000E-06,-39.19219971E-03,-450.87934E-06
+35.05500E-06,-39.19219970E-03,-450.87934E-06
+35.07000E-06,-39.19219971E-03,-2.86293961E-03
+35.08500E-06,-39.19219971E-03,-450.87934E-06
+35.10000E-06,-39.19219971E-03,-450.87934E-06
+35.11500E-06,-97.08164632E-03,-450.87934E-06
+35.13000E-06,-97.08164632E-03,-450.87934E-06
+35.14500E-06,-39.19219970E-03,-450.87934E-06
+35.16000E-06,-39.19219971E-03,-450.87934E-06
